gene	geneLabel	expressionValue	productivityValue	productivityCategory	processType	cellLine
http://example.org/mcbo#gene_HSP90	HSP90	280.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_AKT1	AKT1	250.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_CHO-DG44
http://example.org/mcbo#gene_AKT1	AKT1	250.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#clone_Clone_X
http://example.org/mcbo#gene_CXCL8	CXCL8	250.0	4.0	High productivity	http://example.org/mcbo#BatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_HIF1A	HIF1A	180.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_CHO-K1
http://example.org/mcbo#gene_HIF1A	HIF1A	180.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#clone_Clone_A
http://example.org/mcbo#gene_TNF	TNF	180.0	4.0	High productivity	http://example.org/mcbo#BatchCultureProcess	http://example.org/mcbo#cellline_HEK293
http://example.org/mcbo#gene_MET	MET	150.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#cellline_CHO-DG44
http://example.org/mcbo#gene_MET	MET	150.0	4.0	High productivity	http://example.org/mcbo#PerfusionCultureProcess	http://example.org/mcbo#clone_Clone_X
http://example.org/mcbo#gene_VEGFA	VEGFA	120.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_CHO-K1
http://example.org/mcbo#gene_VEGFA	VEGFA	120.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#clone_Clone_A
http://example.org/mcbo#gene_TP53	TP53	90.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_CHO-K1
http://example.org/mcbo#gene_TP53	TP53	90.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#clone_Clone_A
http://example.org/mcbo#gene_BCL2	BCL2	60.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#cellline_CHO-K1
http://example.org/mcbo#gene_BCL2	BCL2	60.0	4.0	High productivity	http://example.org/mcbo#FedBatchCultureProcess	http://example.org/mcbo#clone_Clone_A
